ResponseID,ANX1,ANX2,ANX3,ANX4,ANX5,ANX6,ANX7,ANX8,ANX9,ANX10,CTRL1,CTRL2,CTRL3,CTRL4,CTRL5,CTRL6,CTRL7,CTRL8,CTRL9,CTRL10
R001,4,4,4,4,5,6,5,3,3,5,3,4,4,6,5,5,3,2,5,5
R002,2,4,3,4,5,4,4,3,4,4,3,3,5,4,4,5,4,3,5,4
R003,3,5,4,5,4,3,4,4,5,6,4,4,2,5,4,3,4,4,4,4
R004,6,2,4,5,5,5,5,4,2,4,5,4,3,5,5,5,4,5,4,4
R005,1,5,5,3,5,4,4,5,4,5,5,3,3,4,5,3,1,5,6,3
R006,3,2,5,5,2,5,4,5,4,6,4,4,3,5,6,5,3,3,5,5
R007,5,4,4,5,5,5,4,5,4,5,3,3,3,3,4,4,3,2,3,3
R008,3,6,3,4,4,5,5,3,3,5,4,3,4,5,6,4,5,4,6,5
R009,3,3,4,4,4,2,5,4,3,3,5,5,5,5,4,2,3,3,4,3
R010,4,5,6,3,2,4,4,6,5,5,5,5,5,5,4,3,3,3,4,3
R011,6,6,5,4,3,4,4,5,3,3,4,3,3,6,3,5,4,5,3,1
R012,3,5,5,5,6,4,3,5,5,6,3,3,4,4,4,5,3,4,5,4
R013,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,3,5,3,5,4
R014,3,4,4,3,3,5,4,5,5,2,4,4,4,5,5,5,4,4,4,5
R015,6,7,3,4,4,5,4,4,4,4,4,3,5,5,4,3,6,4,4,5
R016,6,2,4,3,3,3,6,7,3,4,2,4,3,5,4,4,3,4,4,3
R017,5,4,4,5,4,5,4,4,5,5,4,4,4,4,5,4,4,3,4,5
R018,4,4,4,4,6,5,4,4,4,5,4,4,4,3,6,3,5,2,5,4
R019,5,5,5,2,4,5,3,2,5,4,3,1,4,5,3,5,3,3,5,4
R020,6,5,3,4,4,3,5,5,5,6,3,4,3,4,5,6,6,3,4,4
R021,3,6,3,4,3,5,3,4,4,1,3,4,3,4,5,4,5,4,3,4
R022,5,4,3,4,6,4,4,4,4,4,3,5,3,4,4,6,4,3,3,3
R023,2,5,3,4,4,5,5,4,4,3,2,3,3,4,5,4,4,4,5,4
R024,3,5,4,6,3,6,3,4,4,3,4,3,6,4,4,4,7,3,3,5
R025,5,5,3,3,5,6,4,4,3,6,3,5,5,3,6,4,5,3,4,3
R026,2,4,5,4,6,4,5,4,5,5,4,2,4,4,4,3,4,2,3,4
R027,4,3,4,4,4,4,6,4,4,4,3,5,4,4,4,5,4,4,5,3
R028,3,3,4,4,2,5,4,4,4,6,4,6,2,5,4,5,5,4,6,5
R029,4,3,5,4,6,3,4,4,4,5,3,4,4,4,3,4,3,5,3,4
R030,1,5,4,5,5,3,6,5,4,4,4,4,4,3,4,2,4,4,5,5
R031,2,5,5,5,5,4,4,5,3,4,4,2,5,5,5,4,1,4,5,2
R032,3,5,4,2,4,6,4,5,4,4,5,3,4,5,6,2,4,4,5,5
R033,5,4,5,3,4,4,4,3,7,5,6,5,4,4,5,3,5,2,4,4
R034,4,7,4,4,4,6,4,5,4,5,2,4,4,4,4,4,5,4,5,3
R035,4,6,4,5,5,2,4,5,4,5,4,4,4,4,4,3,5,2,4,4
R036,5,4,4,4,4,3,5,4,2,2,3,4,3,4,5,4,5,5,5,6
R037,3,3,4,2,3,4,5,6,4,5,2,4,4,7,4,4,2,4,4,6
R038,4,5,3,4,4,5,3,3,3,5,5,3,5,4,5,2,3,5,4,5
R039,3,6,5,4,6,4,5,2,4,4,5,4,5,5,6,4,5,3,5,3
R040,2,5,4,4,4,4,4,5,4,5,3,4,4,4,4,5,4,4,5,4
R041,3,5,5,3,4,4,5,4,2,2,4,3,4,4,5,5,4,4,5,4
R042,5,4,2,6,3,3,4,5,4,3,4,4,5,4,5,4,3,3,3,5
R043,4,5,3,4,3,5,5,3,4,4,4,5,3,5,5,4,3,4,3,4
R044,4,6,5,4,4,4,4,3,3,4,5,5,2,5,4,2,4,5,5,4
R045,7,4,6,3,4,5,2,5,4,5,4,2,4,4,5,6,3,3,3,3
R046,4,5,5,3,4,4,4,3,2,3,4,4,5,5,4,6,5,1,5,5
R047,5,5,4,3,4,5,3,3,6,4,5,4,4,5,6,4,4,6,4,4
R048,6,5,3,4,6,5,5,2,4,4,4,3,5,4,4,4,5,3,5,4
R049,2,3,5,3,4,4,4,1,4,5,5,3,4,5,5,1,3,5,6,4
R050,3,2,4,6,5,5,4,3,4,6,3,2,4,4,6,5,5,5,4,4
R051,6,3,5,2,4,3,4,2,5,6,5,3,5,5,4,5,4,4,4,3
R052,3,5,4,3,6,4,5,4,4,3,4,4,5,5,5,5,6,4,5,4
R053,4,5,4,4,2,6,4,2,4,4,3,4,4,5,4,4,4,3,5,3
R054,5,4,7,5,4,6,6,3,6,3,2,3,3,4,4,4,3,4,6,5
R055,5,6,4,4,5,3,6,7,4,4,4,3,3,4,4,3,5,4,4,6
R056,6,4,4,5,4,5,6,4,3,5,2,4,4,4,3,5,4,3,4,5
R057,6,4,4,3,5,5,4,4,3,5,4,5,4,5,5,5,2,3,4,3
R058,5,4,4,4,5,5,3,2,5,4,5,3,6,4,6,5,4,4,4,4
R059,3,5,5,6,5,4,5,4,4,6,4,4,2,4,4,4,4,5,5,2
R060,5,5,4,3,5,4,4,4,4,5,4,2,4,3,5,4,5,4,4,4
R061,4,5,5,4,5,6,4,2,5,4,4,3,3,5,4,3,1,3,5,2
R062,2,3,4,4,6,5,5,4,5,5,4,4,4,3,3,3,5,4,5,3
R063,5,6,5,2,5,6,3,5,4,5,1,3,4,3,5,5,4,5,4,5
R064,5,3,5,3,5,5,6,4,3,5,4,3,4,5,6,4,6,3,4,5
R065,4,5,3,5,4,4,5,4,2,4,4,5,5,5,4,6,2,3,4,3
