ResponseID,ANX1,ANX2,ANX3,ANX4,ANX5,ANX6,ANX7,ANX8,ANX9,ANX10,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10
R001,4,6,3,3,5,3,2,5,6,1,5,5,6,3,3,6,6,5,4,5
R002,5,6,5,4,4,3,1,1,5,2,5,5,4,4,4,5,5,5,5,5
R003,2,3,6,4,5,3,1,6,4,1,5,5,3,5,7,5,3,4,6,5
R004,3,5,4,3,4,4,1,3,2,2,6,5,5,2,6,4,3,5,4,5
R005,4,5,3,4,5,5,2,2,5,1,4,5,4,3,3,5,4,4,5,5
R006,7,3,5,3,4,5,2,5,4,1,3,5,3,3,4,4,5,4,5,5
R007,6,4,4,5,5,2,1,4,3,2,4,6,3,4,4,5,5,5,3,5
R008,4,5,4,4,2,4,2,4,4,2,7,5,5,6,4,5,4,4,4,5
R009,5,2,1,3,4,3,2,5,4,1,4,4,5,5,4,5,6,4,4,5
R010,4,5,4,5,6,3,2,5,4,1,3,2,3,5,6,5,5,4,5,5
R011,3,5,5,3,6,6,1,5,5,2,4,5,5,5,5,4,5,5,5,5
R012,3,3,3,2,7,4,1,4,7,1,6,4,7,7,5,4,4,5,5,5
R013,3,6,5,3,5,4,1,1,4,2,5,4,3,3,5,5,4,4,5,5
R014,4,5,3,3,4,3,1,5,5,1,5,4,3,5,4,4,4,5,5,5
R015,4,5,3,2,5,5,1,5,7,1,5,5,4,5,4,5,3,5,4,5
R016,2,4,3,4,3,3,1,3,5,1,5,6,3,6,4,4,6,4,4,5
R017,5,3,3,4,5,3,1,3,4,2,3,6,6,5,4,4,4,6,3,5
R018,4,4,2,4,3,3,1,5,5,1,4,6,4,6,4,5,5,6,4,5
R019,4,1,4,7,5,5,1,3,4,2,5,5,4,5,5,4,3,5,5,5
R020,4,3,3,3,2,6,1,2,5,2,3,4,5,4,4,4,5,4,3,5
R021,6,5,4,1,4,5,1,2,2,2,4,4,1,4,4,5,5,4,3,5
R022,4,3,4,3,6,2,1,4,4,2,5,4,3,5,5,3,6,6,5,5
R023,4,4,2,3,2,4,1,4,6,2,4,5,6,4,5,4,6,6,5,5
R024,5,6,5,4,4,7,1,6,4,2,6,4,6,5,2,4,5,6,6,5
R025,4,3,5,5,3,4,1,3,6,1,4,5,4,4,3,3,4,3,3,5
R026,5,4,4,4,6,4,1,5,4,2,4,5,3,5,5,5,4,5,4,5
R027,4,2,5,2,2,4,1,4,5,2,6,5,4,4,4,5,5,4,5,5
R028,4,5,4,3,2,3,1,3,3,1,3,3,5,5,4,4,4,5,3,5
R029,5,5,6,4,7,4,1,4,4,2,2,5,5,4,5,5,4,6,3,5
R030,4,3,5,2,3,3,1,5,4,1,4,5,6,4,5,4,4,4,4,5
R031,3,3,5,5,4,4,1,6,4,2,4,5,4,5,5,5,4,5,4,5
R032,2,3,2,3,4,5,2,3,5,2,5,5,4,3,3,5,5,5,6,5
R033,4,2,4,3,5,5,1,2,3,1,5,3,6,5,3,5,3,5,5,5
R034,3,5,5,4,4,3,2,5,3,2,4,7,4,5,6,3,4,4,4,5
R035,5,5,5,3,4,2,1,3,4,2,3,3,3,6,5,5,5,4,4,5
R036,4,4,4,4,3,4,1,4,5,2,4,4,6,5,5,4,4,4,5,5
R037,4,2,6,5,4,4,1,4,6,1,4,4,5,4,4,6,4,4,5,5
R038,3,6,5,4,5,5,7,4,3,1,4,6,5,6,5,4,3,4,4,5
R039,4,5,3,3,5,3,1,2,2,2,5,4,3,6,5,4,4,4,4,5
R040,5,4,3,2,5,5,1,7,3,1,4,4,4,5,4,4,6,4,4,5
R041,5,2,5,4,4,3,6,4,6,1,5,4,4,4,3,4,6,4,3,5
R042,3,4,5,3,4,5,2,4,3,1,6,4,3,6,5,2,4,3,5,5
R043,6,4,5,4,6,5,1,3,3,1,5,5,6,4,4,5,6,5,5,5
R044,3,4,4,3,2,4,1,4,6,1,3,5,6,4,4,4,4,6,5,5
R045,3,5,5,3,3,3,1,5,4,1,4,5,5,4,6,4,4,4,5,5
R046,6,3,2,5,3,3,1,4,4,2,5,6,4,4,4,7,6,4,5,5
R047,5,3,3,3,3,3,1,4,4,2,3,4,5,6,5,4,7,6,5,5
R048,5,3,4,4,4,3,1,3,5,2,6,6,3,4,6,6,7,6,5,5
R049,3,4,5,3,4,4,2,4,4,2,4,4,5,4,3,4,6,4,3,5
R050,5,2,5,3,5,4,6,4,2,1,3,4,5,6,5,3,3,3,4,5
R051,4,5,3,3,3,4,1,2,4,2,5,7,4,5,5,4,6,5,5,5
R052,2,5,5,3,4,4,1,3,4,2,6,5,5,4,4,5,5,5,4,5
R053,3,5,6,4,6,4,1,3,1,2,5,6,4,4,4,4,4,5,4,5
R054,2,4,6,3,3,4,1,3,6,2,6,3,5,5,3,5,5,3,4,5
R055,5,4,4,4,3,4,2,1,4,1,5,5,7,4,4,5,5,5,7,5
R056,5,3,7,6,4,4,1,5,2,2,4,4,6,4,2,5,3,3,4,5
R057,3,6,5,3,3,2,1,4,3,2,4,4,5,4,5,6,4,5,3,5
