Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,POSQ01,POSQ02,POSQ03,POSQ04,POSQ05,POSQ06,POSQ07,POSQ08,POSQ09,POSQ10,STALQ01,STALQ02,STALQ03,STALQ04,STALQ05,STALQ06,STALQ07,STALQ08,STALQ09,STALQ10,TUCKQ01,TUCKQ02,TUCKQ03,TUCKQ04,TUCKQ05,TUCKQ06,TUCKQ07,TUCKQ08,TUCKQ09,TUCKQ10,COLEQ01,COLEQ02,COLEQ03,COLEQ04,COLEQ05,COLEQ06,COLEQ07,COLEQ08,COLEQ09,COLEQ10,ATTN,BURDQ01,BURDQ02,BURDQ03,BURDQ04,BURDQ05,BURDQ06,BURDQ07,BURDQ08,BURDQ09,BURDQ10,RESILQ01,RESILQ02,RESILQ03,RESILQ04,RESILQ05,RESILQ06,RESILQ07,RESILQ08,RESILQ09,RESILQ10,JSATQ01,JSATQ02,JSATQ03,JSATQ04,JSATQ05,JSATQ06,JSATQ07,JSATQ08,JSATQ09,JSATQ10,BIASQ01,BIASQ02,BIASQ03,BIASQ04,BIASQ05,BIASQ06,BIASQ07,BIASQ08,BIASQ09,BIASQ10,RUSSQ01,RUSSQ02,RUSSQ03,RUSSQ04,RUSSQ05,RUSSQ06,RUSSQ07,RUSSQ08,RUSSQ09,RUSSQ10,TURNQ01,TURNQ02,TURNQ03,TURNQ04,TURNQ05,TURNQ06,LEADQ01,LEADQ02,LEADQ03,LEADQ04,LEADQ05,LEADQ06,LEADQ07,LEADQ08,LEADQ09,LEADQ10,MOTIVQ01,MOTIVQ02,MOTIVQ03,MOTIVQ04,MOTIVQ05,MOTIVQ06,MOTIVQ07,MOTIVQ08,MOTIVQ09,MOTIVQ10
100,494,1,6/16/2025 13:59,R_3A6GAKzLSS5B9ND,6,6,6,5,6,3,5,7,6,6,4,4,4,5,5,4,5,4,4,4,4,2,2,4,4,2,2,4,2,2,2,3,2,2,1,3,2,3,1,2,5,4,4,4,5,4,5,4,4,3,3,2,2,4,3,2,3,2,3,4,2,5,4,5,4,5,4,4,5,4,4,5,3,2,6,5,5,2,5,4,3,4,3,4,5,4,4,4,4,4,4,2,4,4,1,2,2,4,4,4,4,3,2,2,3,3,4,4,4,3,4,4,4,5,5,5,4
100,1067,1,6/16/2025 15:13,R_5iUt9JmbILUWOiu,6,2,3,2,5,6,5,5,6,3,4,5,4,4,2,3,4,3,4,3,4,2,4,2,4,2,4,4,4,2,5,2,3,5,2,5,3,5,4,2,5,3,3,2,3,2,2,2,3,2,3,4,2,3,4,3,3,3,4,3,4,4,4,4,2,4,4,4,4,3,4,4,4,2,4,4,5,2,5,4,4,2,2,2,3,3,2,3,2,3,2,3,4,4,2,4,2,4,4,4,4,3,2,2,3,4,2,2,2,2,2,4,3,4,3,4,2
100,526,1,6/16/2025 16:42,R_6kZYiljVCzwM0T8,7,7,7,7,7,7,6,7,7,7,5,4,3,4,4,4,5,5,5,3,3,1,2,4,5,1,3,4,4,3,1,1,2,1,2,2,1,2,1,1,5,4,4,4,4,4,4,4,4,4,4,2,1,4,3,2,2,3,4,3,4,5,5,5,5,5,5,5,5,5,5,4,6,1,4,1,3,1,3,4,1,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5
100,631,1,6/16/2025 16:43,R_1S8LUecBz6K7CmQ,4,3,5,3,2,2,2,5,4,3,4,4,3,3,2,4,3,3,2,3,2,1,2,3,3,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,5,5,4,3,3,4,4,4,4,4,4,2,3,3,2,3,2,3,3,3,3,5,5,4,4,5,5,5,5,5,4,2,6,1,4,1,6,1,6,2,2,4,4,4,5,4,3,3,4,4,4,1,5,1,1,1,1,1,1,2,1,2,1,2,1,2,2,5,4,4,4,5,5,5,5,5,5
100,613,1,6/16/2025 16:47,R_5UdhcXblvpzrcVr,2,2,5,2,2,1,2,5,1,3,5,4,4,3,4,3,4,3,4,4,5,1,1,4,2,1,2,4,2,4,6,6,6,6,5,5,6,6,5,6,5,3,2,3,2,3,4,2,2,2,4,4,2,5,3,2,3,2,3,4,5,2,1,2,2,1,3,2,2,1,3,2,6,2,2,2,6,2,6,2,2,1,1,4,2,1,1,2,3,4,1,5,2,4,5,4,4,5,5,5,5,5,5,5,5,5,5,2,2,1,4,5,4,4,5,3,2
100,517,1,6/16/2025 17:12,R_3oxhRc3UsQqVKXT,6,6,6,7,6,7,7,5,5,5,4,4,3,4,2,4,4,4,4,5,4,3,5,2,5,4,5,4,5,2,5,5,2,5,2,3,3,3,2,2,5,3,4,3,4,3,4,3,3,3,5,3,2,4,4,3,3,4,4,4,4,2,4,3,4,4,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,1,4,1,4,1,1,4,4,4,3,4,3,4,4,3,4,4,3,2,4,4,4,5,5,4,4
100,670,1,6/16/2025 17:28,R_3fDwXL6w81gRNhC,7,7,5,6,7,7,7,7,7,7,5,2,4,5,4,5,4,5,5,4,4,2,5,4,2,1,4,5,2,2,1,2,1,1,1,3,1,1,1,2,5,4,5,4,3,4,4,4,4,4,4,2,1,3,2,2,1,3,4,5,4,4,2,3,5,5,5,4,5,5,5,1,6,1,1,1,7,1,6,1,1,5,3,4,5,5,5,4,5,4,4,1,3,4,4,1,2,2,1,1,1,1,1,1,1,1,2,4,5,5,4,4,5,5,5,5,5
100,542,1,6/16/2025 17:33,R_1IbekVy3IxnOdot,6,6,6,6,7,6,5,7,5,6,3,2,4,4,2,4,4,2,4,4,4,2,4,2,4,4,4,4,4,3,3,3,3,3,2,6,2,3,3,2,5,3,3,3,4,3,3,3,3,3,5,3,2,3,4,4,3,4,5,4,4,4,4,3,5,4,5,5,5,4,5,2,7,1,7,2,7,1,7,1,2,2,2,2,3,3,3,3,2,4,2,4,4,1,2,4,2,5,4,4,4,4,4,5,4,4,4,4,2,3,3,4,4,4,4,4,3
100,563,1,6/16/2025 17:34,R_1A1d9CXAueaegql,6,6,5,5,4,4,5,6,3,5,5,5,4,4,4,3,5,4,4,4,3,2,4,4,2,3,3,4,3,4,3,3,2,5,2,7,3,2,2,2,5,4,3,3,3,4,3,3,3,3,4,3,2,3,4,3,4,3,3,3,3,4,5,4,4,5,4,4,5,4,5,2,6,2,4,2,6,2,6,2,2,2,2,2,4,4,4,4,2,4,4,2,4,2,2,2,2,4,4,4,4,4,3,4,4,5,5,4,3,3,3,4,4,5,5,4,4
100,1022,1,6/16/2025 18:02,R_1zMUIPhgAuRidsY,2,2,5,2,3,3,2,4,2,4,4,4,3,4,4,3,4,5,4,4,4,4,3,3,4,4,4,4,4,3,6,5,5,5,3,5,5,5,5,5,5,3,3,4,3,3,3,3,3,3,3,2,2,4,3,3,2,3,4,3,4,4,2,2,3,4,3,4,4,3,4,4,5,4,3,4,4,4,6,4,4,3,3,3,4,3,3,3,4,3,4,3,3,2,3,3,2,3,3,3,4,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4
